speaker,0,1,2,3,4,5,6,7,8,9,,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,1,0,0,0,0,0,0,1,,
brandon l,0,0,0,1,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
christian x,0,0,0,0,0,0,0,0,1,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,1,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
akash v,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,1,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
alexander b,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
alexander b,0,0,1,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,1,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
alexander b,0,0,1,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
steven z,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
brandon l,0,1,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,1,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
christian x,0,0,0,0,0,0,0,0,1,0,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
akash v,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
steven z,0,0,1,0,0,0,0,0,0,0,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,1,0,0,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
akash v,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,1,0,0,0,0,0,0,0,1,,
brandon l,0,0,0,1,0,0,0,0,0,0,1,,
steven z,0,0,0,0,0,0,0,0,0,1,1,,
akash v,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,0,1,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
brandon l,0,0,0,0,0,0,0,0,1,0,1,,
